Year,Month,Day,Period,gross load
2020,2,15,7,46.78047
2020,2,15,8,49.91997
2020,2,15,9,49.1206
2020,2,15,10,47.10709
2020,2,15,11,45.25334
2020,2,15,12,44.10338
2020,2,15,13,43.78676
2020,2,15,14,43.30396
2020,2,15,15,43.29312
2020,2,15,16,44.99257
2020,2,15,17,47.78412
2020,2,15,18,52.02051
2020,2,15,19,53.37901
2020,2,15,20,51.98419
2020,2,15,21,50.27112
2020,2,15,22,47.70614
2020,2,15,23,47.92081
2020,2,15,24,43.98282
2020,2,16,1,41.8929
2020,2,16,2,40.73347
2020,2,16,3,40.54331
2020,2,16,4,40.47818
2020,2,16,5,40.82206
2020,2,16,6,41.74201
2020,2,16,7,44.07774
2020,2,16,8,47.68667
2020,2,16,9,49.36523
2020,2,16,10,48.98428
2020,2,16,11,47.84776
2020,2,16,12,46.39055
2020,2,16,13,45.13398
2020,2,16,14,44.36028
2020,2,16,15,44.42002
2020,2,16,16,44.83738
2020,2,16,17,46.86958
2020,2,16,18,50.63797
2020,2,16,19,52.0196
2020,2,16,20,50.89645
2020,2,16,21,49.18008
2020,2,16,22,46.72262
2020,2,16,23,46.63881
2020,2,16,24,42.80771
2020,2,17,1,40.67516
2020,2,17,2,41.00632
2020,2,17,3,41.14601
2020,2,17,4,40.94015
2020,2,17,5,41.65935
2020,2,17,6,43.17987
2020,2,17,7,46.3293
2020,2,17,8,49.15916
2020,2,17,9,50.12419
2020,2,17,10,49.12213
2020,2,17,11,47.41025
2020,2,17,12,45.93985
2020,2,17,13,44.60478
2020,2,17,14,44.15269
2020,2,17,15,43.67649
2020,2,17,16,43.02394
2020,2,17,17,44.27655
2020,2,17,18,47.69418
2020,2,17,19,49.64909
2020,2,17,20,48.94296
2020,2,17,21,47.68076
2020,2,17,22,45.68706
2020,2,17,23,48.08408
2020,2,17,24,45.39826
2020,2,18,1,43.99534
2020,2,18,2,43.75057
2020,2,18,3,43.60367
2020,2,18,4,44.14281
2020,2,18,5,44.88802
2020,2,18,6,46.58326
2020,2,18,7,50.09209
2020,2,18,8,52.23588
2020,2,18,9,50.99151
2020,2,18,10,48.76478
2020,2,18,11,47.05116
2020,2,18,12,45.20335
2020,2,18,13,43.42931
2020,2,18,14,42.80869
2020,2,18,15,42.32754
2020,2,18,16,42.03587
2020,2,18,17,43.30251
2020,2,18,18,46.37737
2020,2,18,19,48.47466
2020,2,18,20,48.44284
2020,2,18,21,48.0013
